Source,Target,Mean,CI90,Significant,n_train,n_val
SALESTABLE,CREDITCARDAUTHTRANS,-0.011758272232418864,0.5964109752233561,False,94,38
RETAILTRANSACTIONTABLE,CUSTINVOICEJOUR,0.039281563884487884,0.07620200876305812,False,222,93
SALESTABLE,CUSTINVOICEJOUR,0.841189635154431,0.05813331881392201,True,222,93
SALESTABLE,CUSTINVOICETRANS,0.021332071340545367,0.03760645922415436,False,222,93
SALESLINE,CUSTINVOICETRANS,0.8434677957509594,0.07809676153522342,True,222,93
RETAILTRANSACTIONTABLE,CUSTTRANS,0.00860027324598824,0.10411744756055252,False,222,93
RETAILTRANSACTIONSALESTRANS,INVENTDIM,-0.7685630569469891,0.4653410160190555,True,200,82
SALESLINE,INVENTDIM,0.4823977084501053,0.47206175301172976,True,200,82
RETAILTRANSACTIONSALESTRANS,INVENTTRANSORIGIN,0.029533017512639027,0.19892125122045634,False,222,91
SALESLINE,INVENTTRANSORIGIN,0.9148042397571954,0.19000204769019655,True,222,91
SALESTABLE,LEDGERJOURNALTRANS,0.4231810324781627,0.15014495037266884,True,222,93
RETAILTRANSACTIONTABLE,RETAILEODTRANSACTIONSALESTRANS,-0.08188152240800263,0.07077451463624009,True,212,90
RETAILTRANSACTIONSALESTRANS,RETAILEODTRANSACTIONSALESTRANS,0.8044898583916081,0.21179217829284133,True,212,90
RETAILTRANSACTIONTABLE,RETAILEODTRANSACTIONTABLE,0.9571706725544216,0.08712672064007775,True,216,91
SALESTABLE,RETAILEODTRANSACTIONTABLE,0.007728447976096916,0.06604462410826194,False,216,91
SALESLINE,RETAILSALESLINE,0.8521527650376403,0.13572430260452367,True,209,90
RETAILTRANSACTIONTABLE,RETAILTRANSACTIONATTRIBUTETRANS,-0.029061268531414098,0.7636388236718634,False,83,34
RETAILTRANSACTIONSALESTRANS,RETAILTRANSACTIONATTRIBUTETRANS,-0.08304210570543186,0.9409177514032322,False,83,34
RETAILTRANSACTIONTABLE,RETAILTRANSACTIONPAYMENTTRANS,0.7747130836959022,0.21591384498851676,True,220,92
RETAILTRANSACTIONSALESTRANS,RETAILTRANSACTIONTABLE,6.314307836747429e-17,8.446990239113034e-16,False,222,93
RETAILTRANSACTIONTABLE,RETAILTRANSACTIONTAXTRANS,0.08783948549283874,0.07061744264393228,True,197,85
RETAILTRANSACTIONTABLE,SALESTABLE,1.3648098464181797e-17,1.0473277971437177e-15,False,222,93
SALESLINE,SALESTABLE,1.141448047192739e-16,5.18340401529996e-16,False,222,93
SALESLINE,SOURCEDOCUMENTLINE,1.2184817070066256,0.30151189610527707,True,219,92
SALESLINE,TAXTRANS,1.0026973406661166,0.13405728995955882,True,211,92
